unit_id,month_index,month_name,day_of_week,base_standard_queen,room_offset,draft_adr,notes
Small Queen,7,July,Monday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Friday,200,0,200,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Saturday,200,0,200,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Sunday,178,0,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Monday,158,7,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Tuesday,158,7,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Wednesday,158,7,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Thursday,178,7,185,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Friday,200,7,207,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Saturday,200,7,207,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,8,August,Sunday,178,7,185,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Monday,158,18,176,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Tuesday,158,18,176,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Wednesday,158,18,176,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Thursday,178,18,196,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Friday,200,18,218,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Saturday,200,18,218,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,8,August,Sunday,178,18,196,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Monday,158,10,168,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Tuesday,158,10,168,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Wednesday,158,10,168,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Thursday,178,10,188,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Friday,200,10,210,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Saturday,200,10,210,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,8,August,Sunday,178,10,188,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Monday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Tuesday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Wednesday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Thursday,165,-20,145,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Friday,195,-20,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Saturday,195,-20,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,9,September,Sunday,165,-20,145,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Monday,160,0,160,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Tuesday,160,0,160,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Wednesday,160,0,160,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Thursday,165,0,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Friday,195,0,195,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Saturday,195,0,195,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,9,September,Sunday,165,0,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Monday,160,7,167,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Tuesday,160,7,167,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Wednesday,160,7,167,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Thursday,165,7,172,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Friday,195,7,202,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Saturday,195,7,202,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,9,September,Sunday,165,7,172,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Monday,160,18,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Tuesday,160,18,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Wednesday,160,18,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Thursday,165,18,183,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Friday,195,18,213,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Saturday,195,18,213,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,9,September,Sunday,165,18,183,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Monday,160,10,170,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Tuesday,160,10,170,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Wednesday,160,10,170,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Thursday,165,10,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Friday,195,10,205,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Saturday,195,10,205,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,9,September,Sunday,165,10,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
