tier_id,tier_label,start_date,end_date,length_days
2,Low,2024-12-06,2024-12-07,2
1,Soft,2024-12-08,2024-12-22,15
2,Low,2024-12-23,2024-12-23,1
3,Shoulder,2024-12-24,2024-12-25,2
4,High,2024-12-26,2024-12-28,3
5,Peak,2024-12-29,2024-12-31,3
4,High,2025-01-01,2025-01-06,6
3,Shoulder,2025-01-07,2025-01-08,2
2,Low,2025-01-09,2025-01-23,15
3,Shoulder,2025-01-24,2025-01-26,3
4,High,2025-01-27,2025-01-28,2
3,Shoulder,2025-01-29,2025-02-03,6
4,High,2025-02-04,2025-02-04,1
3,Shoulder,2025-02-05,2025-02-09,5
2,Low,2025-02-10,2025-02-10,1
3,Shoulder,2025-02-11,2025-02-14,4
4,High,2025-02-15,2025-02-20,6
5,Peak,2025-02-21,2025-04-03,42
4,High,2025-04-04,2025-04-08,5
3,Shoulder,2025-04-09,2025-04-11,3
2,Low,2025-04-12,2025-04-12,1
1,Soft,2025-04-13,2025-04-23,11
2,Low,2025-04-24,2025-04-25,2
3,Shoulder,2025-04-26,2025-05-01,6
2,Low,2025-05-02,2025-05-03,2
3,Shoulder,2025-05-04,2025-05-08,5
2,Low,2025-05-09,2025-05-17,9
3,Shoulder,2025-05-18,2025-05-23,6
4,High,2025-05-24,2025-05-25,2
5,Peak,2025-05-26,2025-05-28,3
4,High,2025-05-29,2025-05-29,1
5,Peak,2025-05-30,2025-05-30,1
4,High,2025-05-31,2025-06-05,6
3,Shoulder,2025-06-06,2025-06-07,2
2,Low,2025-06-08,2025-06-10,3
1,Soft,2025-06-11,2025-06-12,2
2,Low,2025-06-13,2025-06-15,3
3,Shoulder,2025-06-16,2025-06-16,1
2,Low,2025-06-17,2025-06-28,12
1,Soft,2025-06-29,2025-07-07,9
2,Low,2025-07-08,2025-07-11,4
1,Soft,2025-07-12,2025-08-04,24
2,Low,2025-08-05,2025-08-15,11
1,Soft,2025-08-16,2025-08-30,15
2,Low,2025-08-31,2025-09-01,2
3,Shoulder,2025-09-02,2025-09-02,1
2,Low,2025-09-03,2025-09-03,1
3,Shoulder,2025-09-04,2025-09-06,3
4,High,2025-09-07,2025-09-18,12
3,Shoulder,2025-09-19,2025-09-21,3
4,High,2025-09-22,2025-10-04,13
5,Peak,2025-10-05,2025-10-08,4
4,High,2025-10-09,2025-10-12,4
5,Peak,2025-10-13,2025-10-16,4
4,High,2025-10-17,2025-10-18,2
3,Shoulder,2025-10-19,2025-10-25,7
2,Low,2025-10-26,2025-11-01,7
3,Shoulder,2025-11-02,2025-11-06,5
4,High,2025-11-07,2025-11-09,3
3,Shoulder,2025-11-10,2025-11-15,6
2,Low,2025-11-16,2025-11-17,2
1,Soft,2025-11-18,2025-11-18,1
2,Low,2025-11-19,2025-11-20,2
3,Shoulder,2025-11-21,2025-11-23,3
4,High,2025-11-24,2025-11-24,1
3,Shoulder,2025-11-25,2025-11-27,3
4,High,2025-11-28,2025-12-03,6
3,Shoulder,2025-12-04,2025-12-05,2
2,Low,2025-12-06,2025-12-07,2
1,Soft,2025-12-08,2025-12-22,15
2,Low,2025-12-23,2025-12-23,1
3,Shoulder,2025-12-24,2025-12-25,2
4,High,2025-12-26,2025-12-28,3
5,Peak,2025-12-29,2025-12-31,3
4,High,2026-01-01,2026-01-06,6
3,Shoulder,2026-01-07,2026-01-08,2
2,Low,2026-01-09,2026-01-23,15
3,Shoulder,2026-01-24,2026-01-26,3
4,High,2026-01-27,2026-01-28,2
3,Shoulder,2026-01-29,2026-02-03,6
4,High,2026-02-04,2026-02-04,1
3,Shoulder,2026-02-05,2026-02-09,5
2,Low,2026-02-10,2026-02-10,1
3,Shoulder,2026-02-11,2026-02-14,4
4,High,2026-02-15,2026-02-20,6
5,Peak,2026-02-21,2026-03-29,37
4,High,2026-03-30,2026-03-31,2
